doi,pmid
10.1371/journal.pone.0051629,23505408
10.1093/bioinformatics/btl488,17021160
10.1093/bioinformatics/btm148,17459960
10.1007/s11306-010-0198-7,20526350
10.1186/1751-0473-6-8,21529350
10.1016/s0168-9525(00)02024-2,10827456
10.1093/bioinformatics/13.4.477,9283765
10.1186/2041-1480-2-S1-S5,21388574
10.1093/bioinformatics/btr400,21727140
10.1093/nar/28.1.267,10592243
10.1093/nar/gkm160,17452365
10.1016/j.sbi.2010.03.008,20403684
10.1093/nar/gkr367,21593126
10.1006/jmbi.1994.1104,8107089
10.1186/1471-2105-9-474,19014431
10.1093/nar/gkj106,16381858
10.1093/bioinformatics/bti325,15713731
10.1186/s13063-016-1290-8,27056367
10.1093/nar/gkt1127,24243844
10.1038/sdata.2018.23,29485625
10.1093/database/bav028,25877637
10.1093/nar/gkw943,27924018
10.1093/bioinformatics/btq538,20861032
10.1093/bioinformatics/btw214,27153650
10.1371/journal.pone.0020284,21695124
10.1093/nar/gkz1021,31680165
10.1186/s13040-021-00233-2,33472672
10.1093/nar/gkaa895,33084889
10.1016/j.tips.2019.09.002,31677919
10.1021/jm400378w,23941661
10.1093/nar/gkv1082,26496949
10.1186/s13073-018-0531-8,29592813
10.1186/1471-2105-15-214,24958009
10.1093/database/baw033,27087305
10.1093/nar/gkaa434,32479607
10.1093/nar/gkw1132,27899672
10.1093/nar/gkv1116,26538599
10.12688/f1000research.12974.1,29333231
10.1093/gigascience/gix022,28402416
10.1093/nar/gkx1108,29149270
10.1093/nar/gkv966,26420834
10.1101/gr.108175.110,20647237
10.1016/j.cub.2005.12.044,16488868
10.1093/nar/gkz955,31680137
10.1093/bioinformatics/btz469,31233103
10.1038/ng.3312,26111507
10.1093/bioinformatics/btx168,28379332
10.1002/humu.22078,22422702
10.1006/jmbi.2000.4042,10964570
10.1016/j.drudis.2012.05.016,22683805
10.1186/1471-2105-8-298,17688688
10.1093/bioinformatics/btz190,30903186
10.1186/1471-2105-11-5,20047655
10.1038/nsb1203-980,14634627
10.1093/nar/28.1.235,10592235
10.2390/biecoll-jib-2010-147,20980714
10.1038/nmeth.4077,27898060
10.1093/nar/25.17.3389,9254694
10.1016/S0022-2836(05)80360-2,2231712
10.1186/1471-2105-11-29,20074352
10.1093/bioinformatics/bts660,23162084
10.1093/bioinformatics/btx804,29253085
10.1021/pr501286b,25732134
10.1093/nar/gkx237,28383659
10.1093/bioinformatics/btv107,25697819
10.1074/mcp.O113.036335,24741113
10.1093/bib/bbn013,18372315
10.1093/bioinformatics/btm404,17846036
10.1073/pnas.85.8.2444,3162770
10.5114/wo.2014.47136,25691825
10.1093/nar/gki491,15980463
10.1093/nar/gku955,25313160
10.1093/nar/gkx1038,29112718
10.1093/nar/gku1063,25392425
10.1186/1471-2105-7-97,16507094
10.1093/nar/gkn252,18467421
10.1093/nar/gkq331,20460452
10.1016/j.jsb.2011.05.008,21605683
10.1021/acs.jmedchem.5b01813,26908025
10.1186/s13742-016-0126-5,27195106
10.1093/nar/gkw211,27084938
10.1093/nar/gkr1046,22102587
10.1093/bioinformatics/btu165,24681905
10.1093/bioinformatics/bts240,22539666
10.1186/2046-1682-5-7,22559010
10.1093/nar/gky472,29905873
10.1186/1471-2105-11-S12-S12,21210979
10.1093/bioinformatics/bty021,29340616
10.1093/bioinformatics/bts139,22437851
10.1186/1471-2105-11-S12-S2,21210981
10.1093/nar/gkt1063,24194605
10.1093/database/bau033,24715220
10.1093/nar/gks575,22693220
10.1073/pnas.0409137102,16000407
10.1007/978-1-62703-646-7_10,24170401
10.1038/ncomms3741,24225580
10.1093/nar/gku270,24728994
10.1093/bioinformatics/btk041,16403789
10.1093/nar/gkr437,21672959
10.1186/s13321-016-0170-2,27795739
10.1261/rna.5248604,15383676
10.1089/106652702761034172,12487762
10.1093/bib/bbp065,20150321
10.1186/1471-2105-14-16,23324024
10.1093/nar/gkh086,14681454
10.1038/msb.2008.55,18766178
10.3389/fninf.2014.00040,24808858
10.1093/nar/gkt1166,24270788
10.1038/nmeth.3258,25633501
10.1093/nar/gku465,24875477
10.1093/bioinformatics/btt484,23958731
10.1093/bioinformatics/btu031,24451626
10.1016/j.jmb.2004.03.016,15111065
10.1093/nar/gkn1006,19103665
10.1016/0022-2836(81)90087-5,7265238
10.1074/mcp.M100004-MCP200,12096132
10.1093/nar/gkq1039,21071392
10.1093/nar/gkq394,20484378
10.1093/bioinformatics/14.4.380,9632837
10.1016/0022-2836(87)90478-5,2448477
10.1186/s13059-016-0953-9,27154141
10.1093/bioinformatics/btt439,24013925
10.1093/nar/gkq315,20439313
10.1093/bioinformatics/btq321,20562414
10.1038/nature05453,17151600
10.1093/bioinformatics/btt658,24234005
10.1093/emboj/21.6.1248,11889031
10.1093/bioinformatics/btr191,21493660
10.1093/bioinformatics/bty489,29931246
10.1016/j.cels.2016.07.002,27467249
10.1093/bioinformatics/btx162,28379339
10.1007/978-1-4939-7493-1_17,29344898
10.3389/fnins.2011.00008,21293737
10.1109/TBME.2011.2164794,21846603
10.1016/j.csbj.2015.03.009,26925206
10.5334/dsj-2019-059,31579260
10.1093/nar/gkab377,34019656
10.1093/nar/gkx352,28472475
10.1093/nar/gkn260,18477633
10.1093/nar/gkw381,27150812
10.3390/genes8100278,29057824
10.1107/S2059798318000050,29372899
10.1107/S2059798320009389,32876056
10.1093/nar/gkaa383,32406923
10.1371/journal.pcbi.1003440,24453961
10.1093/nar/gky358,29762722
10.1093/nar/gkaa372,32392342
10.1093/nar/gky417,29796670
10.1093/nar/gkz378,31114897
10.1371/journal.pcbi.1004962,27224906
10.1093/gbe/evv121,26133389
10.1093/nar/gks1219,23193283
10.1093/nar/gkt1209,24293649
10.1093/nar/gkm864,17947321
10.1093/bioinformatics/bts252,22556368
10.1016/j.jbiotec.2017.06.1198,28648396
10.1089/cmb.2012.0021,22506599
10.1093/bioinformatics/btp536,19744993
10.1038/nmeth.2242,23132114
10.1186/1758-2946-3-33,21982300
10.1093/nar/gks572,22693211
10.1093/bioinformatics/btm557,18006544
10.1038/nmeth.2890,24681721
10.1093/nar/gkh340,15034147
10.1093/bioinformatics/btq033,20110278
10.1038/ng.806,21478889
10.1016/j.ymeth.2015.04.030,25937393
10.1006/geno.1997.4995,9403055
10.1038/nbt.2839,24727771
10.1586/14789450.3.1.1,16445344
10.1074/mcp.D500002-MCP200,15937296
10.1186/gb-2006-7-s1-s10,16925832
10.1371/journal.pone.0055814,23613707
10.1038/nmeth.4462,28960183
10.1038/nature06387,18075582
10.1093/nar/29.1.308,11125122
10.1007/s10858-015-9924-9,25801209
10.1093/sysbio/syq010,20525638
10.1080/10635150390235520,14530136
10.1093/bioinformatics/bti713,16234323
10.1080/10635150600755453,16785212
10.1093/nar/gki352,15980534
10.1093/nar/gkn180,18424797
10.1186/1471-2148-10-8,20067610
10.1093/nar/gkp215,19339519
10.1093/nar/gky357,29746661
10.1093/bioinformatics/btu743,25414360
10.1093/nar/gkv468,25969447
10.1002/0471250953.bi0313s48,25501942
10.1093/bioinformatics/bth456,15297299
10.1101/gr.10.4.547,10779496
10.1093/bioinformatics/btp017,19168913
10.1186/1471-2105-8-155,17504537
10.1093/nar/gki375,15980478
10.1093/nar/gky320,29718411
10.1016/j.jmb.2020.166729,33972021
10.1093/bioinformatics/btv291,25957347
10.1093/bioinformatics/btw192,27153629
10.1093/bioinformatics/btx044,28130235
10.1093/bioinformatics/btx818,29280997
10.1093/bioinformatics/btv367,26079349
10.1093/bioinformatics/btz512,31218353
10.1093/bioinformatics/btt089,23428638
10.1093/bioinformatics/btu411,24974200
10.1093/bioinformatics/btr387,21715467
10.1186/1471-2105-14-S1-S10,23368835
10.1093/bioinformatics/bts728,23297037
10.1093/bioinformatics/btr549,21967762
10.1186/1748-7188-4-13,19849839
10.1002/humu.22102,22505138
10.1186/s12859-020-03792-z,33546584
10.1093/nar/gkw384,27151196
10.1186/gb-2013-14-12-r134,24330842
10.1111/tpj.13457,27995664
10.1101/2020.11.04.369041,33173863
10.1038/nmeth.4331,28604722
10.1101/2020.12.24.424262,33398286
10.1101/2020.12.03.409409,33300000
10.1093/nar/gku410,24861617
10.1186/S13321-019-0403-2,33430953
10.1101/2020.05.10.20096073,32511484
10.1089/crispr.2020.0059,33275853
10.1093/nar/gkaa437,32479601
10.1186/S13321-020-0412-1,33431001
10.1101/2020.09.23.310565,32995794
10.1101/2020.09.09.196220,32935101
10.1093/database/bat058,23959375
10.1007/978-1-4939-6658-5_5,27987166
10.1186/S13321-020-00442-7,33431029
10.1016/j.neuroimage.2020.117402,32979520
10.1186/S13321-019-0400-5,33431008
10.1016/j.jmb.2020.08.014,32841657
10.1093/nar/gku1040,25361970
10.1038/s41436-020-00972-3,33046849
10.1093/bioinformatics/btaa709,32777814
10.1093/bioinformatics/btaa1076,33367514
10.1093/nar/gkaa215,32255179
10.1093/bioinformatics/17.10.957,11673241
10.1080/15592294.2020.1834921,33100132
10.1101/2020.11.05.20224865,33173897
10.1016/j.mam.2020.100894,32893032
10.1186/S13321-019-0394-Z,33430982
10.12688/WELLCOMEOPENRES.15495.1,31886410
10.1186/S13321-019-0399-7,33430999
10.1093/gigascience/giaa065,32530465
10.1093/nar/gks808,22933715
10.1093/nar/gks363,22553366
10.1093/nar/gky309,29718451
10.1093/bioinformatics/bty040,29385404
10.1002/jms.3123,23494783
10.1093/bioinformatics/btw170,27153608
10.1073/pnas.1815601116,31127050
10.1093/bioinformatics/btp352,19505943
10.1371/journal.pone.0145564,26694538
10.1371/journal.pone.0038967,22745694
10.1093/bioinformatics/btz509,31233141
10.1186/s13007-018-0345-0,30186360
10.1093/jamia/ocw010,27107447
10.1016/j.ijmedinf.2018.09.015,30342679
10.1093/molbev/msv150,26130081
10.1089/106652702761034136,12487758
10.1093/nar/gkx1003,29087490
10.1093/nar/gku1112,25378326
10.1093/nar/gks1156,23193262
10.1093/bioinformatics/btq079,20185404
10.1093/pcp/pcu177,25432975
10.1093/molbev/msx149,28472384
10.1080/07391102.2018.1546230,30585105
10.1093/nar/gkz303,31028399
10.3390/metabo9100237,31635085
10.1186/s12859-019-3167-9,31718533
10.1016/j.neo.2017.05.002,28732212
10.1093/nar/gky992,30371894
10.1016/j.jmb.2016.11.032,27939290
10.3390/ijms17081215,27472327
10.1038/s41598-017-08321-2,28808256
10.1093/bioinformatics/btz580,31359029
10.1186/1746-1448-6-12,21192823
10.1093/bib/bby127,30649171
10.1038/s41588-019-0370-6,30886426
10.1093/database/baz058,31210271
10.1093/nar/gkv1204,26578584
10.1093/bioinformatics/btw675,28003258
10.1093/bioinformatics/btw590,27605104
10.1186/s12859-018-2420-y,30497367
10.1093/bioinformatics/btw095,27153680
10.1186/1471-2105-9-S2-S7,18387209
10.1186/s12859-018-2423-8,30497362
10.1038/nmeth.1422,20195257
10.1038/s41436-018-0050-4,29895857
10.1093/protein/10.6.673,9278280
10.1093/bioinformatics/btw047,26803162
10.1093/bioinformatics/btw666,27794557
10.1093/bioinformatics/bty681,30101321
10.1371/journal.pone.0081148,24324667
10.1093/bioinformatics/btw369,27318204
10.1093/bioinformatics/btw173,27153610
10.1093/bioinformatics/btv479,26330601
10.1093/bioinformatics/btz622,31393550
10.1093/bioinformatics/btz624,31392309
10.1038/nbt.4317,30480667
10.1093/bioinformatics/btm066,17332022
10.1093/bioinformatics/btr702,22199390
10.1186/s12864-017-3911-3,28812536
10.1186/s12870-014-0412-2,25849067
10.1093/bioinformatics/btw584,27605100
10.1093/nar/gkh368,15215461
10.1016/s0022-2836(05)80360-2,2231712
10.1093/bioinformatics/bty304,29669011
10.1038/s41586-018-0686-x,30405244
10.1111/j.1742-4658.2009.07124.x,19558493
10.1110/ps.0236803,12717029
10.1093/bioinformatics/bty742,30165396
10.1093/bioinformatics/btv583,26454275
10.1007/s11103-016-0469-4,27007138
10.1186/s13015-017-0119-7,29467814
10.1093/bioinformatics/btw561,27559154
10.1093/bioinformatics/btz022,30649183
10.1093/bioinformatics/btw117,27153723
10.1093/bioinformatics/btv536,26415724
10.1093/bioinformatics/btv423,26209430
10.1093/bioinformatics/btv347,26092861
10.1093/bioinformatics/btp324,19451168
10.1002/humu.21438,21520333
10.1093/bioinformatics/btz009,30657871
10.1093/bioinformatics/btz061,30689768
10.1093/bioinformatics/bty534,29955804
10.1093/bioinformatics/btx499,28961954
10.1093/bioinformatics/bty215,29659702
10.1093/bioinformatics/bty052,29401212
10.1093/bioinformatics/bty027,29360930
10.1093/bioinformatics/btx371,28605501
10.1093/bioinformatics/btz482,31192369
10.1186/s12859-016-0944-6,26927822
10.1093/bioinformatics/btz520,31263896
10.1093/bioinformatics/btz305,31070718
10.1093/bioinformatics/btz179,30865284
10.1093/bioinformatics/bty216,29648573
10.1093/bioinformatics/btx424,29077808
10.1093/bioinformatics/btx415,28655153
10.1093/bioinformatics/btw739,28414855
10.1093/bioinformatics/btz465,31173067
10.1371/journal.pone.0079722,24260292
10.1093/bioinformatics/btz075,30715201
10.1186/s12859-018-2580-9,30612540
10.1186/s12859-018-2281-4,30021513
10.1093/bioinformatics/btr330,21653522
10.1007/978-1-62703-646-7_8,24170399
10.1093/bioinformatics/bty121,29506019
10.1093/bib/bbx108,28968734
10.1371/journal.pcbi.1005520,28594829
10.1186/gb-2013-14-4-r36,23618408
10.1093/bioinformatics/btp120,19289445
10.1186/s12859-018-2254-7,30012095
10.1186/s12859-018-2177-3,30066633
10.1093/bioinformatics/btn452,18765459
10.1093/bioinformatics/btq293,20639544
10.1155/2012/324249,22675248
10.1186/1471-2164-15-1039,25432719
10.1093/nar/gkm226,17478515
10.1093/bioinformatics/btq725,21233169
10.1186/1471-2164-13-74,22336055
10.1002/0471250953.bi1112s47,25199790
10.1186/1471-2164-11-571,20950480
10.1038/nmeth.4262,28557982
10.1093/bioinformatics/btq281,20562416
10.1038/ng2110,17721534
10.13188/2329-1583.1000002,24791251
10.1093/bioinformatics/btq379,20823314
10.1093/bioinformatics/btt324,23740746
10.1021/ct300494q,26605625
10.1093/bioinformatics/btn305,18599518
10.1093/bioinformatics/bti310,15728110
10.1093/bioinformatics/btu638,25260700
10.1038/nmeth.4260,28448069
10.1038/ismej.2013.139,23949665
10.1093/bioinformatics/btu135,24618473
10.1198/jasa.2011.ap10657,22140288
10.1371/journal.pone.0025988,21998740
10.1093/bioinformatics/btr064,21330290
10.1186/1753-6561-1-S1-S60,18466561
10.1186/s12859-016-1397-7,27998267
10.1093/bioinformatics/btq455,20798169
10.1093/nar/gkq603,20601685
10.1186/1748-7188-3-7,18577231
10.1038/nprot.2008.211,19131956
10.1086/381000,14681826
10.1007/978-1-4939-0554-6_12,24838886
10.1093/nar/gkp335,19458158
10.1093/bioinformatics/bts565,23060610
10.1038/nmeth.4330,28661499
10.1093/nar/gkg509,12824425
10.1534/genetics.112.144204,23051646
10.1038/nbt.1621,20436464
10.1093/bioinformatics/btq488,20736340
10.1038/nmeth.4423,28858339
10.1371/journal.pone.0157022,27280887
10.1101/gr.111120.110,20980556
10.1093/bioinformatics/btp394,19561018
10.1021/acs.jcim.8b00271,30036062
10.1007/s10822-012-9626-2,23269578
10.1021/acs.jcim.5b00588,26759067
10.1021/acs.jcim.5b00210,26098831
10.1093/bioinformatics/btl150,16632493
10.1002/cmdc.200700010,17436259
10.1021/ci100241y,20945875
10.1093/bioinformatics/bts310,22628523
10.1186/1758-2946-6-12,24694216
10.1186/1758-2946-1-13,20298519
10.1093/nargab/lqaa005,33575553
10.1186/1471-2105-11-378,20633259
10.1093/bioinformatics/btt054,23376349
10.1093/nargab/lqz024,33575571
10.1038/nmeth.4556,29309061
10.1093/nar/gkw199,27098042
10.1038/nmeth.4506,29190274
10.1093/bioinformatics/btm581,18056068
10.1093/nar/gkn230,18460544
10.1097/FTD.0000000000000456,29084032
10.1038/nmeth.4540,29355848
10.1111/1755-0998.12387,25684545
10.1093/bioinformatics/btg1080,14534192
10.1093/nar/gkh379,15215400
10.1093/nar/gki458,15980513
10.1093/nar/gkl200,16845043
10.1093/nar/gkt418,23700307
10.1371/journal.pone.0168397,28045932
10.1093/nar/gks560,22693209
10.1186/s12859-015-0696-8,26264783
10.1109/TCBB.2014.2351810,26357263
10.1002/prot.20842,16450362
10.1093/nar/gkp287,19417072
10.1093/bioinformatics/btw514,27503228
10.1093/bioinformatics/btv333,26026169
10.1093/pcp/pcu185,25480116
10.2390/biecoll-jib-2010-118,20375444
10.2390/biecoll-jib-2010-110,20134080
10.2390/biecoll-jib-2014-237,24953306
10.1002/prca.201700069,28975713
10.1002/pro.5560030118,7511453
10.1002/pmic.200300483,12923769
10.1002/pmic.200401244,15880814
10.1093/nar/gku1002,25348399
10.1371/journal.pone.0144578,26656740
10.1021/acs.jproteome.6b00481,27523326
10.1002/elps.11501401163,8125050
10.1093/bioinformatics/btq243,20472542
10.1371/journal.pone.0046688,23056405
10.1007/978-1-4939-3578-9_13,27008019
10.1038/nmeth.2066,22688413
10.1093/bioinformatics/btw379,27378299
10.1093/bioinformatics/btu012,24413673
10.1016/j.cub.2007.11.058,18160293
10.1371/journal.pcbi.0010067,16477324
10.1128/AEM.01394-08,18757578
10.1006/jmbi.1995.0442,7650738
10.1186/1758-907X-4-2,23688306
10.1093/nar/gkn275,18492721
10.1080/106351502753475916,11943096
10.1093/bioinformatics/btm525,18006551
10.1093/bioinformatics/bti701,16249266
10.1186/1471-2105-4-21,12783628
10.1371/journal.pone.0001623,18286180
10.1093/bioinformatics/bty007,29329372
10.1002/humu.22965,26842889
10.1038/s41393-018-0169-9,29977003
10.1016/j.jbi.2008.08.010,18929686
10.1093/nar/gkr777,21948594
10.1093/nar/gkw1074,27899562
10.1093/nar/gkv1157,26687719
10.1093/bioinformatics/btv010,25964657
10.1093/nar/gku989,25348405
10.1093/nar/gkv1118,26527717
10.1093/bioinformatics/btu773,25414364
10.1002/humu.21047,19514061
10.1093/nar/gky007,29361178
10.1093/nar/gkv1117,26527720
10.1093/bioinformatics/btt036,23357920
10.1093/bib/bbs058,23172809
10.1093/nar/gky353,29741719
10.1093/bioinformatics/btx140,28334295
10.1093/nar/gkw313,27106055
10.1021/pr0602085,16889405
10.1002/pmic.200300744,15174123
10.1093/nar/gkr366,21624888
10.1186/s12859-015-0676-z,26220682
10.1089/106652799318300,10582570
10.1021/pr900189c,19354269
10.1021/ac991363o,10857624
10.1093/database/baw070,27173522
10.1002/0471250953.bi1323s44,25663956
10.1002/0471140864.ps1605s14,18429132
10.1093/bioinformatics/btw420,27412089
10.1002/pmic.200700322,19235167
10.1093/bioinformatics/btw412,27378296
10.1021/pr200664h,21967198
10.1186/s13321-017-0197-z,28286574
10.1021/acs.analchem.5b00941,25929282
10.1038/srep45477,28358118
10.1093/nar/gkv384,25897133
10.1186/1752-0509-7-64,23875761
10.1002/pro.5560040318,7795533
10.1093/bioinformatics/15.6.446,10383470
10.1093/nar/gky418,29771380
10.1371/journal.pone.0133492,26197475
10.1371/journal.pone.0062224,23667459
10.1038/nmeth.1974,22543379
10.1371/journal.pcbi.1006042,29554099
10.1093/bioinformatics/btx210,28407097
10.1093/nar/gkv561,26013810
10.1101/gr.169508.113,24515121
10.1093/bioinformatics/bti219,15598831
10.1093/nar/gkl125,16845091
10.1093/nar/gks596,22730293
10.1016/j.str.2007.10.007,17997961
10.1186/1758-2946-5-39,23953065
10.1093/nar/gku426,24848013
10.1186/s13321-015-0099-x,26500704
10.1186/gb-2010-11-12-r121,21182759
10.1186/gb-2010-11-8-r86,20738864
10.1186/1471-2105-12-494,22208806
10.1093/nar/gkt342,23632163
10.1021/ci200444d,22296449
10.1038/nprot.2014.189,25375991
10.1093/bioinformatics/btn341,18641403
10.1038/s41598-017-14591-7,29085014
10.1016/B978-0-12-385118-5.00029-3,21943917
10.1158/1538-7445.COMPSYSBIO-B1-05,25931027
10.1158/1538-7445.TRANSCAGEN-A2-45,25931027
10.1093/nar/gkt530,23748955
10.1016/j.jmb.2007.05.022,17681537
10.1002/pmic.200900189,19834897
10.1093/bioinformatics/btt369,23803466
10.1038/nmeth.4627,29505029
10.12688/f1000research.13541.1,29636899
10.1186/s12918-015-0212-9,26452770
10.1093/bioinformatics/btp304,19429600
10.1186/s12859-017-1841-3,28964270
10.1186/s12859-017-1787-5,28929969
10.1186/s13321-018-0290-y,30105604
10.1186/s13321-017-0199-x,28270862
10.1186/s13321-018-0297-4,30128806
10.1186/s12859-017-1779-5,28814324
10.12688/f1000research.15613.1,30363398
10.1186/s12859-017-1837-z,28931371
10.1186/s13059-018-1465-6,30016975
10.12688/f1000research.11830.2,28928946
10.1186/s13321-018-0295-6,30128804
10.1186/s13321-017-0247-6,29185060
10.1186/s12859-017-1786-6,28929968
10.1371/journal.pone.0026781,22073191
10.1186/s13321-017-0251-x,29234984
10.1186/s13321-017-0215-1,29086046
10.12688/f1000research.10041.1,28529706
10.12688/f1000research.13934.2,30430005
10.1186/s12859-017-1809-3,28877663
10.1186/s12859-017-1778-6,28821228
10.1186/s13059-016-1012-2,27380939
10.12688/f1000research.13460.2,30228859
10.1186/s12859-017-1792-8,28851273
10.1186/s12859-017-1790-x,28929970
10.1016/j.cels.2018.06.004,30077635
10.1186/s13059-018-1387-3,29409527
10.1186/s12918-017-0511-4,29322938
10.12688/f1000research.14561.1,30135718
10.1186/s12859-017-1769-7,28750606
10.12688/f1000research.11840.4,29263780
10.1186/s13059-016-0925-0,27139377
10.1186/s13321-018-0283-x,29943074
10.1186/s13321-018-0274-y,29633047
10.1186/s13321-018-0266-y,29524011
10.1186/s13321-017-0246-7,29168051
10.1186/s13321-017-0244-9,29143270
10.1016/j.bpj.2017.03.011,28445744
10.1371/journal.pone.0169748,28207752
10.1093/bioinformatics/bty136,29534153
10.1186/s12859-017-1997-x,29281985
10.1038/s41467-018-03297-7,29507333
10.1038/s41598-018-28361-6,29968796
10.1186/s12859-018-2241-z,29940842
10.1186/s12859-018-2262-7,29976145
10.1186/1745-7580-2-2,16635264
10.1093/nar/gky336,29718322
10.1093/nar/gky328,29718313
10.1093/nar/gky319,29718464
10.1093/nar/gkx399,28582569
10.1186/s12859-017-1995-z,29295714
10.1186/s12859-017-1960-x,29297315
10.1093/gigascience/gix032,28459977
10.1186/s12859-018-2234-y,29898651
10.1093/nar/gkx322,28460062
10.1186/s12859-017-1987-z,29273005
10.1186/s12859-017-1990-4,29246109
10.1038/s41598-017-07199-4,28761071
10.1038/s41598-017-10952-4,28874813
10.1038/s41598-017-13083-y,28970546
10.1038/sdata.2017.151,28994825
10.1186/s12859-017-1862-y,28985712
10.1186/s12859-018-2206-2,29859055
10.1038/s41598-017-05960-3,28724888
10.1038/tp.2017.171,28763057
10.1093/nar/gky299,29718427
10.1093/nar/gky300,29718330
10.1093/nar/gky277,29897582
10.1186/s12859-017-1975-3,29297318
10.1093/nar/gkx348,28472498
10.1186/s12859-017-1968-2,29297304
10.1038/s41598-017-11746-4,28912487
10.1038/s41598-018-20211-9,29379090
10.1038/s41598-018-27495-x,29904147
10.1186/s12859-017-1956-6,29297283
10.1093/bioinformatics/btx447,29028264
10.1093/bioinformatics/bty220,29659705
10.1093/bioinformatics/btx155,28407035
10.1093/nar/gky419,29905875
10.1093/bioinformatics/btx526,28968748
10.1093/bioinformatics/btx315,28505247
10.1038/nbt.3804,28263296
10.1093/nar/gky330,29733404
10.1093/bioinformatics/btx698,29091991
10.1093/bioinformatics/btx692,29126246
10.1371/journal.pone.0177234,28531174
10.1371/journal.pone.0185207,28953918
10.1093/bioinformatics/bty039,29420699
10.1371/journal.pone.0176469,28467460
10.1093/bioinformatics/bty162,29547921
10.1093/nar/gky424,29788317
10.1093/bioinformatics/btx440,29036289
10.1093/bioinformatics/btw814,28453672
