PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
20444871,HotPoint: hot spot prediction server for protein interfaces,"Tuncbag N, Keskin O, Gursoy A.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W402-6. doi: 10.1093/nar/gkq323. Epub 2010 May 5.,Tuncbag N,Nucleic Acids Res,2010,2010/05/07,PMC2896123,,10.1093/nar/gkq323
20444873,PANDORA: analysis of protein and peptide sets through the hierarchical integration of annotations,"Rappoport N, Fromer M, Schweiger R, Linial M.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W84-9. doi: 10.1093/nar/gkq320. Epub 2010 May 5.,Rappoport N,Nucleic Acids Res,2010,2010/05/07,PMC2896089,,10.1093/nar/gkq320
20444874,Frog2: Efficient 3D conformation ensemble generator for small compounds,"Miteva MA, Guyon F, Tufféry P.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W622-7. doi: 10.1093/nar/gkq325. Epub 2010 May 5.,Miteva MA,Nucleic Acids Res,2010,2010/05/07,PMC2896087,,10.1093/nar/gkq325
20444875,"Freiburg RNA Tools: a web server integrating INTARNA, EXPARNA and LOCARNA","Smith C, Heyne S, Richter AS, Will S, Backofen R.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W373-7. doi: 10.1093/nar/gkq316. Epub 2010 May 5.,Smith C,Nucleic Acids Res,2010,2010/05/07,PMC2896085,,10.1093/nar/gkq316
20444876,ALADYN: a web server for aligning proteins by matching their large-scale motion,"Potestio R, Aleksiev T, Pontiggia F, Cozzini S, Micheletti C.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W41-5. doi: 10.1093/nar/gkq293. Epub 2010 May 5.,Potestio R,Nucleic Acids Res,2010,2010/05/07,PMC2896196,,10.1093/nar/gkq293
20457744,Dali server: conservation mapping in 3D,"Holm L, Rosenström P.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W545-9. doi: 10.1093/nar/gkq366. Epub 2010 May 10.,Holm L,Nucleic Acids Res,2010,2010/05/12,PMC2896194,,10.1093/nar/gkq366
20457745,MSEA: a web-based tool to identify biologically meaningful patterns in quantitative metabolomic data,"Xia J, Wishart DS.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W71-7. doi: 10.1093/nar/gkq329. Epub 2010 May 10.,Xia J,Nucleic Acids Res,2010,2010/05/12,PMC2896187,,10.1093/nar/gkq329
20457747,MIRU-VNTRplus: a web tool for polyphasic genotyping of Mycobacterium tuberculosis complex bacteria,"Weniger T, Krawczyk J, Supply P, Niemann S, Harmsen D.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W326-31. doi: 10.1093/nar/gkq351. Epub 2010 May 10.,Weniger T,Nucleic Acids Res,2010,2010/05/12,PMC2896200,,10.1093/nar/gkq351
20457748,CCRXP: exploring clusters of conserved residues in protein structures,"Ahmad S, Keskin O, Mizuguchi K, Sarai A, Nussinov R.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W398-401. doi: 10.1093/nar/gkq360. Epub 2010 May 10.,Ahmad S,Nucleic Acids Res,2010,2010/05/12,PMC2896124,,10.1093/nar/gkq360
20460452,The Ontology Lookup Service: bigger and better,"Côté R, Reisinger F, Martens L, Barsnes H, Vizcaino JA, Hermjakob H.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W155-60. doi: 10.1093/nar/gkq331. Epub 2010 May 11.,Côté R,Nucleic Acids Res,2010,2010/05/13,PMC2896109,,10.1093/nar/gkq331
20460454,Targetfinder.org: a resource for systematic discovery of transcription factor target genes,"Kiełbasa SM, Blüthgen N, Fähling M, Mrowka R.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W233-8. doi: 10.1093/nar/gkq374. Epub 2010 May 11.,Kiełbasa SM,Nucleic Acids Res,2010,2010/05/13,PMC2896086,,10.1093/nar/gkq374
20460459,FiberDock: a web server for flexible induced-fit backbone refinement in molecular docking,"Mashiach E, Nussinov R, Wolfson HJ.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W457-61. doi: 10.1093/nar/gkq373. Epub 2010 May 11.,Mashiach E,Nucleic Acids Res,2010,2010/05/13,PMC2896170,,10.1093/nar/gkq373
20460462,SIREs: searching for iron-responsive elements,"Campillos M, Cases I, Hentze MW, Sanchez M.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W360-7. doi: 10.1093/nar/gkq371. Epub 2010 May 11.,Campillos M,Nucleic Acids Res,2010,2010/05/13,PMC2896125,,10.1093/nar/gkq371
20460463,SIMCOMP/SUBCOMP: chemical structure search servers for network analyses,"Hattori M, Tanaka N, Kanehisa M, Goto S.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W652-6. doi: 10.1093/nar/gkq367. Epub 2010 May 11.,Hattori M,Nucleic Acids Res,2010,2010/05/13,PMC2896122,,10.1093/nar/gkq367
20460464,GIS: a comprehensive source for protein structure similarities,"Guerler A, Knapp EW.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W46-52. doi: 10.1093/nar/gkq314. Epub 2010 May 11.,Guerler A,Nucleic Acids Res,2010,2010/05/13,PMC2896118,,10.1093/nar/gkq314
20460468,DynaMod: dynamic functional modularity analysis,"Sun CH, Hwang T, Oh K, Yi GS.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W103-8. doi: 10.1093/nar/gkq362. Epub 2010 May 11.,Sun CH,Nucleic Acids Res,2010,2010/05/13,PMC2896096,,10.1093/nar/gkq362
20460469,PROSESS: a protein structure evaluation suite and server,"Berjanskii M, Liang Y, Zhou J, Tang P, Stothard P, Zhou Y, Cruz J, MacDonell C, Lin G, Lu P, Wishart DS.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W633-40. doi: 10.1093/nar/gkq375. Epub 2010 May 11.,Berjanskii M,Nucleic Acids Res,2010,2010/05/13,PMC2896095,,10.1093/nar/gkq375
20460470,VISIBIOweb: visualization and layout services for BioPAX pathway models,"Dilek A, Belviranli ME, Dogrusoz U.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W150-4. doi: 10.1093/nar/gkq352. Epub 2010 May 11.,Dilek A,Nucleic Acids Res,2010,2010/05/13,PMC2896092,,10.1093/nar/gkq352
20462859,RosettaBackrub--a web server for flexible backbone protein structure modeling and design,"Lauck F, Smith CA, Friedland GF, Humphris EL, Kortemme T.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W569-75. doi: 10.1093/nar/gkq369. Epub 2010 May 12.,Lauck F,Nucleic Acids Res,2010,2010/05/14,PMC2896185,,10.1093/nar/gkq369
20462861,BAGEL2: mining for bacteriocins in genomic data,"de Jong A, van Heel AJ, Kok J, Kuipers OP.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W647-51. doi: 10.1093/nar/gkq365. Epub 2010 May 12.,de Jong A,Nucleic Acids Res,2010,2010/05/14,PMC2896169,,10.1093/nar/gkq365
20462862,The EMBRACE web service collection,"Pettifer S, Ison J, Kalas M, Thorne D, McDermott P, Jonassen I, Liaquat A, Fernández JM, Rodriguez JM; INB-Partners, Pisano DG, Blanchet C, Uludag M, Rice P, Bartaseviciute E, Rapacki K, Hekkelman M, Sand O, Stockinger H, Clegg AB, Bongcam-Rudloff E, Salzemann J, Breton V, Attwood TK, Cameron G, Vriend G.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W683-8. doi: 10.1093/nar/gkq297. Epub 2010 May 12.,Pettifer S,Nucleic Acids Res,2010,2010/05/14,PMC2896104,,10.1093/nar/gkq297
20462864,GRAPE: GRaphical Abstracted Protein Explorer,"Cipriano G, Wesenberg G, Grim T, Phillips GN Jr, Gleicher M.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W595-601. doi: 10.1093/nar/gkq398. Epub 2010 May 12.,Cipriano G,Nucleic Acids Res,2010,2010/05/14,PMC2896102,,10.1093/nar/gkq398
20472643,TogoWS: integrated SOAP and REST APIs for interoperable bioinformatics Web services,"Katayama T, Nakao M, Takagi T.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W706-11. doi: 10.1093/nar/gkq386. Epub 2010 May 14.,Katayama T,Nucleic Acids Res,2010,2010/05/18,PMC2896079,,10.1093/nar/gkq386
20478823,"Babelomics: an integrative platform for the analysis of transcriptomics, proteomics and genomic data with advanced functional profiling","Medina I, Carbonell J, Pulido L, Madeira SC, Goetz S, Conesa A, Tárraga J, Pascual-Montano A, Nogales-Cadenas R, Santoyo J, García F, Marbà M, Montaner D, Dopazo J.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W210-3. doi: 10.1093/nar/gkq388. Epub 2010 May 16.,Medina I,Nucleic Acids Res,2010,2010/05/19,PMC2896184,,10.1093/nar/gkq388
20478824,"3V: cavity, channel and cleft volume calculator and extractor","Voss NR, Gerstein M.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W555-62. doi: 10.1093/nar/gkq395. Epub 2010 May 16.,Voss NR,Nucleic Acids Res,2010,2010/05/19,PMC2896178,,10.1093/nar/gkq395
20478825,DSAP: deep-sequencing small RNA analysis pipeline,"Huang PJ, Liu YC, Lee CC, Lin WC, Gan RR, Lyu PC, Tang P.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W385-91. doi: 10.1093/nar/gkq392. Epub 2010 May 16.,Huang PJ,Nucleic Acids Res,2010,2010/05/19,PMC2896168,,10.1093/nar/gkq392
20478827,mirTools: microRNA profiling and discovery based on high-throughput sequencing,"Zhu E, Zhao F, Xu G, Hou H, Zhou L, Li X, Sun Z, Wu J.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W392-7. doi: 10.1093/nar/gkq393. Epub 2010 May 16.,Zhu E,Nucleic Acids Res,2010,2010/05/19,PMC2896132,,10.1093/nar/gkq393
20478828,DNABINDPROT: fluctuation-based predictor of DNA-binding residues within a network of interacting residues,"Ozbek P, Soner S, Erman B, Haliloglu T.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W417-23. doi: 10.1093/nar/gkq396. Epub 2010 May 16.,Ozbek P,Nucleic Acids Res,2010,2010/05/19,PMC2896127,,10.1093/nar/gkq396
20478829,fpocket: online tools for protein ensemble pocket detection and tracking,"Schmidtke P, Le Guilloux V, Maupetit J, Tufféry P.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W582-9. doi: 10.1093/nar/gkq383. Epub 2010 May 16.,Schmidtke P,Nucleic Acids Res,2010,2010/05/19,PMC2896101,,10.1093/nar/gkq383
20478830,ConSurf 2010: calculating evolutionary conservation in sequence and structure of proteins and nucleic acids,"Ashkenazy H, Erez E, Martz E, Pupko T, Ben-Tal N.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W529-33. doi: 10.1093/nar/gkq399. Epub 2010 May 16.,Ashkenazy H,Nucleic Acids Res,2010,2010/05/19,PMC2896094,,10.1093/nar/gkq399
20478831,RSSsite: a reference database and prediction tool for the identification of cryptic Recombination Signal Sequences in human and murine genomes,"Merelli I, Guffanti A, Fabbri M, Cocito A, Furia L, Grazini U, Bonnal RJ, Milanesi L, McBlane F.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W262-7. doi: 10.1093/nar/gkq391. Epub 2010 May 16.,Merelli I,Nucleic Acids Res,2010,2010/05/19,PMC2896083,,10.1093/nar/gkq391
20478832,NAPS: a residue-level nucleic acid-binding prediction server,"Carson MB, Langlois R, Lu H.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W431-5. doi: 10.1093/nar/gkq361. Epub 2010 May 16.,Carson MB,Nucleic Acids Res,2010,2010/05/19,PMC2896077,,10.1093/nar/gkq361
20483918,BioMet Toolbox: genome-wide analysis of metabolism,"Cvijovic M, Olivares-Hernández R, Agren R, Dahr N, Vongsangnak W, Nookaew I, Patil KR, Nielsen J.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W144-9. doi: 10.1093/nar/gkq404. Epub 2010 May 18.,Cvijovic M,Nucleic Acids Res,2010,2010/05/21,PMC2896146,,10.1093/nar/gkq404
20483919,MetaMHC: a meta approach to predict peptides binding to MHC molecules,"Hu X, Zhou W, Udaka K, Mamitsuka H, Zhu S.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W474-9. doi: 10.1093/nar/gkq407. Epub 2010 May 18.,Hu X,Nucleic Acids Res,2010,2010/05/21,PMC2896142,,10.1093/nar/gkq407
20484371,ToppCluster: a multiple gene list feature analyzer for comparative enrichment clustering and network-based dissection of biological systems,"Kaimal V, Bardes EE, Tabar SC, Jegga AG, Aronow BJ.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W96-102. doi: 10.1093/nar/gkq418. Epub 2010 May 19.,Kaimal V,Nucleic Acids Res,2010,2010/05/21,PMC2896202,,10.1093/nar/gkq418
20484373,SMAP-WS: a parallel web service for structural proteome-wide ligand-binding site comparison,"Ren J, Xie L, Li WW, Bourne PE.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W441-4. doi: 10.1093/nar/gkq400. Epub 2010 May 19.,Ren J,Nucleic Acids Res,2010,2010/05/21,PMC2896174,,10.1093/nar/gkq400
20484374,IBWS: IST Bioinformatics Web Services,"Zappa A, Miele M, Romano P.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W712-8. doi: 10.1093/nar/gkq416. Epub 2010 May 19.,Zappa A,Nucleic Acids Res,2010,2010/05/21,PMC2896171,,10.1093/nar/gkq416
20484376,MPlot--a server to analyze and visualize tertiary structure contacts and geometrical features of helical membrane proteins,"Rose A, Goede A, Hildebrand PW.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W602-8. doi: 10.1093/nar/gkq401. Epub 2010 May 19.,Rose A,Nucleic Acids Res,2010,2010/05/21,PMC2896131,,10.1093/nar/gkq401
20484378,BioCatalogue: a universal catalogue of web services for the life sciences,"Bhagat J, Tanoh F, Nzuobontane E, Laurent T, Orlowski J, Roos M, Wolstencroft K, Aleksejevs S, Stevens R, Pettifer S, Lopez R, Goble CA.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W689-94. doi: 10.1093/nar/gkq394. Epub 2010 May 19.,Bhagat J,Nucleic Acids Res,2010,2010/05/21,PMC2896129,,10.1093/nar/gkq394
20484379,"MAGIA, a web-based tool for miRNA and Genes Integrated Analysis","Sales G, Coppe A, Bisognin A, Biasiolo M, Bortoluzzi S, Romualdi C.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W352-9. doi: 10.1093/nar/gkq423. Epub 2010 May 19.,Sales G,Nucleic Acids Res,2010,2010/05/21,PMC2896126,,10.1093/nar/gkq423
20494974,SOBA: sequence ontology bioinformatics analysis,"Moore B, Fan G, Eilbeck K.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W161-4. doi: 10.1093/nar/gkq426. Epub 2010 May 21.,Moore B,Nucleic Acids Res,2010,2010/05/25,PMC2896117,,10.1093/nar/gkq426
20494976,Discovering causal signaling pathways through gene-expression patterns,"Parikh JR, Klinger B, Xia Y, Marto JA, Blüthgen N.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W109-17. doi: 10.1093/nar/gkq424. Epub 2010 May 21.,Parikh JR,Nucleic Acids Res,2010,2010/05/25,PMC2896193,,10.1093/nar/gkq424
20494977,"THREaD Mapper Studio: a novel, visual web server for the estimation of genetic linkage maps","Cheema J, Ellis TH, Dicks J.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W188-93. doi: 10.1093/nar/gkq430. Epub 2010 May 21.,Cheema J,Nucleic Acids Res,2010,2010/05/25,PMC2896177,,10.1093/nar/gkq430
20497995,DIALIGN-TX and multiple protein alignment using secondary structure information at GOBICS,"Subramanian AR, Hiran S, Steinkamp R, Meinicke P, Corel E, Morgenstern B.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W19-22. doi: 10.1093/nar/gkq442. Epub 2010 May 23.,Subramanian AR,Nucleic Acids Res,2010,2010/05/26,PMC2896137,,10.1093/nar/gkq442
20497996,RJPrimers: unique transposable element insertion junction discovery and PCR primer design for marker development,"You FM, Wanjugi H, Huo N, Lazo GR, Luo MC, Anderson OD, Dvorak J, Gu YQ.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W313-20. doi: 10.1093/nar/gkq425. Epub 2010 May 23.,You FM,Nucleic Acids Res,2010,2010/05/26,PMC2896120,,10.1093/nar/gkq425
20497997,GUIDANCE: a web server for assessing alignment confidence scores,"Penn O, Privman E, Ashkenazy H, Landan G, Graur D, Pupko T.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W23-8. doi: 10.1093/nar/gkq443. Epub 2010 May 23.,Penn O,Nucleic Acids Res,2010,2010/05/26,PMC2896199,,10.1093/nar/gkq443
20497999,"SLiMFinder: a web server to find novel, significantly over-represented, short protein motifs","Davey NE, Haslam NJ, Shields DC, Edwards RJ.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W534-9. doi: 10.1093/nar/gkq440. Epub 2010 May 23.,Davey NE,Nucleic Acids Res,2010,2010/05/26,PMC2896084,,10.1093/nar/gkq440
20501599,GlycoViewer: a tool for visual summary and comparative analysis of the glycome,"Joshi HJ, von der Lieth CW, Packer NH, Wilkins MR.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W667-70. doi: 10.1093/nar/gkq446. Epub 2010 May 25.,Joshi HJ,Nucleic Acids Res,2010,2010/05/27,PMC2896138,,10.1093/nar/gkq446
20501600,SFmap: a web server for motif analysis and prediction of splicing factor binding sites,"Paz I, Akerman M, Dror I, Kosti I, Mandel-Gutfreund Y.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W281-5. doi: 10.1093/nar/gkq444. Epub 2010 May 25.,Paz I,Nucleic Acids Res,2010,2010/05/27,PMC2896136,,10.1093/nar/gkq444
20501601,WebPrInSeS: automated full-length clone sequence identification and verification using high-throughput sequencing data,"Massouras A, Decouttere F, Hens K, Deplancke B.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W378-84. doi: 10.1093/nar/gkq431. Epub 2010 May 25.,Massouras A,Nucleic Acids Res,2010,2010/05/27,PMC2896179,,10.1093/nar/gkq431
20501602,WIWS: a protein structure bioinformatics Web service collection,"Hekkelman ML, Te Beek TA, Pettifer SR, Thorne D, Attwood TK, Vriend G.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W719-23. doi: 10.1093/nar/gkq453. Epub 2010 May 25.,Hekkelman ML,Nucleic Acids Res,2010,2010/05/27,PMC2896166,,10.1093/nar/gkq453
20501603,CyloFold: secondary structure prediction including pseudoknots,"Bindewald E, Kluth T, Shapiro BA.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W368-72. doi: 10.1093/nar/gkq432. Epub 2010 May 25.,Bindewald E,Nucleic Acids Res,2010,2010/05/27,PMC2896150,,10.1093/nar/gkq432
20501604,GSA-SNP: a general approach for gene set analysis of polymorphisms,"Nam D, Kim J, Kim SY, Kim S.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W749-54. doi: 10.1093/nar/gkq428. Epub 2010 May 25.,Nam D,Nucleic Acids Res,2010,2010/05/27,PMC2896081,,10.1093/nar/gkq428
20501605,myExperiment: a repository and social network for the sharing of bioinformatics workflows,"Goble CA, Bhagat J, Aleksejevs S, Cruickshank D, Michaelides D, Newman D, Borkum M, Bechhofer S, Roos M, Li P, De Roure D.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W677-82. doi: 10.1093/nar/gkq429. Epub 2010 May 25.,Goble CA,Nucleic Acids Res,2010,2010/05/27,PMC2896080,,10.1093/nar/gkq429
20504855,ProBiS: a web server for detection of structurally similar protein binding sites,"Konc J, Janezic D.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W436-40. doi: 10.1093/nar/gkq479. Epub 2010 May 26.,Konc J,Nucleic Acids Res,2010,2010/05/28,PMC2896105,,10.1093/nar/gkq479
20504857,POLYVIEW-MM: web-based platform for animation and analysis of molecular simulations,"Porollo A, Meller J.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W662-6. doi: 10.1093/nar/gkq445. Epub 2010 May 26.,Porollo A,Nucleic Acids Res,2010,2010/05/28,PMC2896192,,10.1093/nar/gkq445
20507903,FoXS: a web server for rapid computation and fitting of SAXS profiles,"Schneidman-Duhovny D, Hammel M, Sali A.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W540-4. doi: 10.1093/nar/gkq461. Epub 2010 May 27.,Schneidman-Duhovny D,Nucleic Acids Res,2010,2010/05/29,PMC2896111,,10.1093/nar/gkq461
